ElevatorID,BuildingName,City,State,Country,ElevatorType,Manufacturer,Model,CapacityKg,NumFloors,InstallDate,Status
ELV-1048,Center 18,Toronto,ON,Canada,Passenger,KONE,M-459,2000,36,2018-12-09,Active
ELV-1049,Tower 8,Singapore,SG,Singapore,Escalator,Schindler,M-694,1000,6,2017-06-05,Active
ELV-1050,Complex 21,Manchester,ENG,UK,Home Lift,Mitsubishi Electric,M-623,630,28,2017-10-02,Decommissioned
ELV-1051,Tower 46,Toronto,ON,Canada,Home Lift,Otis,M-632,1600,47,2015-09-18,Under Maintenance
ELV-1052,Center 28,Berlin,BE,Germany,Passenger,Fujitec,M-438,1600,24,2014-06-03,Active
ELV-1053,Mall 20,Chicago,IL,USA,Home Lift,KONE,M-512,2000,22,2016-09-26,Active
ELV-1054,Complex 25,Toronto,ON,Canada,Freight,Mitsubishi Electric,M-682,1000,29,2019-06-07,Active
ELV-1055,Center 14,New York,NY,USA,Home Lift,Mitsubishi Electric,M-721,2000,24,2016-10-25,Active
ELV-1056,Mall 31,Dubai,DU,UAE,Freight,Fujitec,M-186,1000,36,2014-10-17,Active
ELV-1057,Tower 49,Mumbai,MH,India,Freight,Fujitec,M-417,800,55,2017-07-08,Active
ELV-1058,Plaza 31,New York,NY,USA,Service Elevator,Otis,M-566,1275,60,2011-01-14,Active
ELV-1059,Residency 26,Toronto,ON,Canada,Freight,Schindler,M-771,2000,4,2018-08-12,Decommissioned
